New Company Name, Previous Company Name, Fund 
WATCHES OF SWITZERLAND GROUP,NO,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
GAMMA COMMUNICATIONS,WATCHES OF SWITZERLAND GROUP,Aegon UK Smaller Companies (Class B) Accumulation Fund Analysis
